"_SYSTEM_ID","Question External Id","Question Name"
"656ff82b32dd0a68468d3606","Q1_1701836813918","As the district official, one of Mr. Sanjay's objectives is to increase the enrolment of new students every year. He has to ensure that there is equal focus on genders, CwSN, and students from minority status. How should he ensure that the project running is as per the goals set?"
"656ff82b32dd0a68468d360c","Q2_1701836813918","Mr. Hira as the education officer as part of his duties has to channelize and monitor funds. He has realised that the schools do not share their expenses regularly. He may not receive further funds in case he fails to share the project progress and submit the expenses. What do you think he should do?"
"656ff82b32dd0a68468d3612","Q3_1701836813918","Age"
"656ff82b32dd0a68468d3618","Q4_1701836813918","As the district official, one of Mr. Sanjay's objectives is to increase the enrolment of new students every year. He has to ensure that there is equal focus on genders, CwSN, and students from minority status. How should he ensure that the project running is as per the goals set?"
"656ff82b32dd0a68468d361e","Q5_1701836813918","As the district official, one of Mr. Sanjay's objectives is to increase the enrolment of new students every year. He has to ensure that there is equal focus on genders, CwSN, and students from minority status. How should he ensure that the project running is as per the goals set?"
"656ff82b32dd0a68468d3624","Q6_1701836813918","There have been few changes in the syllabus. Some of the principals and teachers are anxious as they feel that the syllabus has become difficult. How do you think Mr. Babu should as the education officer handle the situation?"
"656ff82b32dd0a68468d362a","Q7_1701836813918","Experience"
"656ff82b32dd0a68468d3630","Q8_1701836813918","Date of birth"
"656ff82b32dd0a68468d3636","Q9_1701836813918","Due to the pandemic, the progress on various initiatives has been slow. Some of the school principals are not in favour because they feel the burden is already enough due to virtual classes. How would you communicate with them to implement the initiatives?"
"656ff82b32dd0a68468d363d","Q10_1701836813918","Mr. Ramesh is the education officer. He has to decide which projects he would like to initiate this year. How do you suggest he should decide?"
"656ff82b32dd0a68468d3643","Q11_1701836813918","Your senior has informed you that you are required to make a few changes in the current Health plan of students. You have also been briefed with what changes have to be implemented. When and how would you involve school principals to implement these changes across all schools of your district?"
"656ff82b32dd0a68468d364a","Q12_1701836813918","The new initiatives by the education department want district education officers to implement ICDS. How would you ensure that the initiatives are implemented across the district?"
"656ff82b32dd0a68468d3650","Q13_1701836813918","As the education officer, you are required to create awareness for Women and Child Welfare in the district. How would you ensure awareness is brought across the district?"
"656ff82b32dd0a68468d3657","Q14_1701836813918","Mr. Raju has realised that there is an increasing issue of high drop out among girls in your district. How would you handle the situation?"
"656ff82b32dd0a68468d365d","Q15_1701836813918","You are working on improving the enrolment of new students in the schools of your district. You need to establish goals for the plan. What will you do?"
"656ff82b32dd0a68468d3663","Q16_1701836813918","You would like to work on implementing BaLa in the schools of your district. How would you ensure that the project is a success?"
