authorId,mappedUserId,userName,rootOrgId,rootOrgName,org_id,srcOrgAdminId,srcOrgAdminUserName,contributorOrgAdminId,contributorOrgAdminUserName,programId,programName
140558b9-7df4-4993-be3c-31eb8b9ca368,,,,,,,,,,,9b616fc0-d76b-11ed-87b4-9feca80ba862,TN01-Mantra4Change-APSWREIS School Leader Feedback sourcing project
86d2d978-5b20-4453-8a76-82b5a4c728c9,,,,,,,,,,,566e4df1-d76d-11ed-87b4-9feca80ba862,MH01-Mantra4Change-APSWREIS School Leader Feedback sourcing project
9304641b-71c6-4e95-ac2c-27f222904fbe,,,,,,,,,,,da505be0-d76d-11ed-87b4-9feca80ba862,Need Assessment Form_Teacher Training sourcing project
19d81ef7-36ce-41fe-ae2d-c8365d977be4,,,,,,,,,,,f0d2b021-d76d-11ed-87b4-9feca80ba862,Training Feedback Form sourcing project
60c4bfaa-1650-413c-9fdf-32444a68e78d,,,,,,,,,,,f4c60a60-d76d-11ed-87b4-9feca80ba862,MH01-Mantra4Change-APSWREIS School Leader Feedback sourcing project
b87160fb-16c3-4951-82cc-31149bbb64b9,,,,,,,,,,,f566de41-d76d-11ed-87b4-9feca80ba862,Doubt Resolution-Test sourcing project
66926c63-df26-4040-a222-3240c5c1dcea,,,,,,,,,,,ff7072c0-d76d-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses sourcing project
1deba81d-3be0-4f9a-b2c7-e284ac75227f,,,,,,,,,,,01492a60-d76e-11ed-87b4-9feca80ba862,Teachers' Weekly Check-in Form sourcing project
c9f5bb44-5a55-460c-8466-5299a1065689,,,,,,,,,,,0392a530-d76e-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses sourcing project
a96826e9-ecd3-4d43-b9c9-37b4eaaf056e,,,,,,,,,,,07296080-d76e-11ed-87b4-9feca80ba862,MH01-Mantra4Change-APSWREIS School Leader Feedback sourcing project
1dc2e743-1504-47e1-adad-54749e2b833c,,,,,,,,,,,099aaea0-d76e-11ed-87b4-9feca80ba862,Need Assessment Form_Teacher Training sourcing project
575de5bb-e295-4546-9fc4-32f81b5ed081,,,,,,,,,,,0ef05801-d76e-11ed-87b4-9feca80ba862,स्कूल सुरक्षा चेकलिस्ट sourcing project
0c274517-d3b9-4858-9d88-b41cfcc2727e,,,,,,,,,,,11f49750-d76e-11ed-87b4-9feca80ba862,MH01-Mantra4Change-APSWREIS School Leader Feedback sourcing project
2b655fd1-201d-4d2a-a1b7-9048a25c0afa,,,,,,,,,,,14181391-d76e-11ed-87b4-9feca80ba862,We love reading program-Teacher Check in sourcing project
5cc9d214-c938-4655-8ec2-c1fdab29888b,,,,,,,,,,,19d50a40-d76e-11ed-87b4-9feca80ba862,Teachers' Weekly Check-in Form sourcing project
9b303e72-e45b-42b6-8ef6-163092144a6b,,,,,,,,,,,1fc286d1-d76e-11ed-87b4-9feca80ba862,MH01-Mantra4Change-APSWREIS School Leader Feedback sourcing project
23e491b1-7c90-4497-823e-f01f104e81f1,,,,,,,,,,,29a70721-d76e-11ed-87b4-9feca80ba862,Baseline Data collection form- We Love Reading Program sourcing project
3eeb8aef-b167-42ae-b2a3-515772a6e946,,,,,,,,,,,2a32a551-d76e-11ed-87b4-9feca80ba862,Baseline Data collection form- We Love Reading Program sourcing project
19a22722-9e35-4f80-9412-f2668d50ec3c,,,,,,,,,,,2ebfce91-d76e-11ed-87b4-9feca80ba862,Digi-Saksham Baseline Survey sourcing project
0f209f21-a093-421e-b867-561d85bc011b,,,,,,,,,,,2f588c21-d76e-11ed-87b4-9feca80ba862,Need Assessment Form_Teacher Training sourcing project
d4a823ad-3adc-4658-9b32-6011021f3633,,,,,,,,,,,3013ece1-d76e-11ed-87b4-9feca80ba862,Digi-Saksham Baseline Survey sourcing project
4255a82b-7d58-4ed9-a297-c888f0faafbe,,,,,,,,,,,6b897ba1-d76e-11ed-87b4-9feca80ba862,MT Reflection Form sourcing project
124fdade-aaa2-4587-9dcd-3c7cf15c7147,,,,,,,,,,,7eb726a1-d76e-11ed-87b4-9feca80ba862,Survey Sample sourcing project
